Token	POS-Tag	OOV	Id	Index	Documento
Públicas	PROPN	0	11	3	Atualização das Despesas Públicas no Portal da Transparência
no	ADP	0	11	4	Atualização das Despesas Públicas no Portal da Transparência
Portal	PROPN	1	11	5	Atualização das Despesas Públicas no Portal da Transparência
da	ADP	0	11	6	Atualização das Despesas Públicas no Portal da Transparência
Transparência	PROPN	1	11	7	Atualização das Despesas Públicas no Portal da Transparência
CGU	PROPN	1	12	0	CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
publica	VERB	0	12	1	CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
Relatório	NOUN	1	12	2	CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
de	ADP	0	12	3	CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
Gestão	PROPN	0	12	4	CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
Fiscal	PROPN	1	12	5	CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
do	ADP	0	12	6	CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
terceiro	ADJ	0	12	7	CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
quadrimestre	NOUN	1	12	8	CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
de	ADP	0	12	9	CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
2020	NUM	1	12	10	CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
GT	PROPN	0	13	0	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
-	PUNCT	0	13	1	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
tica	NOUN	1	13	2	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
inclui	VERB	0	13	3	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
entrevistas	NOUN	0	13	4	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
com	ADP	0	13	5	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
especialistas	NOUN	0	13	6	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
no	ADP	0	13	7	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
processo	NOUN	0	13	8	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
de	ADP	0	13	9	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
reformulação	NOUN	0	13	10	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
das	ADP	0	13	11	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
normas	NOUN	0	13	12	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
federais	ADJ	0	13	13	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
Força	PROPN	0	14	0	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
-	PUNCT	0	14	1	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
tarefa	NOUN	0	14	2	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
combate	VERB	0	14	3	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
fraudes	NOUN	1	14	4	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
no	ADP	0	14	5	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
fornecimento	NOUN	0	14	6	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
de	ADP	0	14	7	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
material	NOUN	0	14	8	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
didático	ADJ	1	14	9	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
na	ADP	0	14	10	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
Paraíba	PROPN	0	14	11	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
Covid	PROPN	1	15	0	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
-	PUNCT	0	15	1	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
19	NUM	0	15	2	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
CGU	PROPN	1	15	3	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
e	CCONJ	0	15	4	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
PF	PROPN	1	15	5	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
combatem	VERB	1	15	6	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
desvios	NOUN	1	15	7	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
de	ADP	0	15	8	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
recursos	NOUN	0	15	9	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
no	ADP	0	15	10	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
Rio	PROPN	0	15	11	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
de	ADP	0	15	12	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
Janeiro	PROPN	0	15	13	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
Investigação	PROPN	1	16	0	Investigação no Fundo de Financiamento do Ensino Superior FIES
no	ADP	0	16	1	Investigação no Fundo de Financiamento do Ensino Superior FIES
Fundo	PROPN	0	16	2	Investigação no Fundo de Financiamento do Ensino Superior FIES
de	ADP	0	16	3	Investigação no Fundo de Financiamento do Ensino Superior FIES
Financiamento	PROPN	1	16	4	Investigação no Fundo de Financiamento do Ensino Superior FIES
do	ADP	0	16	5	Investigação no Fundo de Financiamento do Ensino Superior FIES
Ensino	PROPN	0	16	6	Investigação no Fundo de Financiamento do Ensino Superior FIES
Superior	PROPN	0	16	7	Investigação no Fundo de Financiamento do Ensino Superior FIES
FIES	PROPN	1	16	8	Investigação no Fundo de Financiamento do Ensino Superior FIES
Está	AUX	0	17	0	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
aberta	ADJ	0	17	1	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
consulta	NOUN	0	17	2	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
para	ADP	0	17	3	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
priorização	NOUN	1	17	4	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
de	ADP	0	17	5	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
temas	NOUN	0	17	6	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
do	ADP	0	17	7	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
5	PROPN	0	17	8	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
Plano	PROPN	0	17	9	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
de	ADP	0	17	10	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
Ação	PROPN	0	17	11	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
Nacional	PROPN	0	17	12	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
de	ADP	0	17	13	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
Governo	PROPN	0	17	14	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
Aberto	PROPN	0	17	15	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
LENI	PROPN	1	18	0	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
NCIA	PROPN	1	18	1	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
CGU	PROPN	1	18	2	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
,	PUNCT	0	18	3	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
AGU	PROPN	1	18	4	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
e	CCONJ	0	18	5	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
MPF	PROPN	1	18	6	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
celebram	VERB	1	18	7	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
acordo	NOUN	0	18	8	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
com	ADP	0	18	9	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
a	DET	0	18	10	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
Samsung	PROPN	1	18	11	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
Heavy	PROPN	0	18	12	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
Industries	PROPN	1	18	13	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
CGU	PROPN	1	19	0	CGU realiza encontro virtual sobre enfrentamento à COVID - 19 e participação social
realiza	VERB	0	19	1	CGU realiza encontro virtual sobre enfrentamento à COVID - 19 e participação social
encontro	NOUN	0	19	2	CGU realiza encontro virtual sobre enfrentamento à COVID - 19 e participação social
virtual	ADJ	0	19	3	CGU realiza encontro virtual sobre enfrentamento à COVID - 19 e participação social
sobre	ADP	0	19	4	CGU realiza encontro virtual sobre enfrentamento à COVID - 19 e participação social
enfrentamento	NOUN	1	19	5	CGU realiza encontro virtual sobre enfrentamento à COVID - 19 e participação social
à	ADP	0	19	6	CGU realiza encontro virtual sobre enfrentamento à COVID - 19 e participação social
COVID	PROPN	1	19	7	CGU realiza encontro virtual sobre enfrentamento à COVID - 19 e participação social
-	PUNCT	0	19	8	CGU realiza encontro virtual sobre enfrentamento à COVID - 19 e participação social
19	NUM	0	19	9	CGU realiza encontro virtual sobre enfrentamento à COVID - 19 e participação social
e	CCONJ	0	19	10	CGU realiza encontro virtual sobre enfrentamento à COVID - 19 e participação social
participação	NOUN	0	19	11	CGU realiza encontro virtual sobre enfrentamento à COVID - 19 e participação social
social	ADJ	0	19	12	CGU realiza encontro virtual sobre enfrentamento à COVID - 19 e participação social
CGU	PROPN	1	20	0	CGU e PF combatem superfaturamento na saúde em Araguaína TO
e	CCONJ	0	20	1	CGU e PF combatem superfaturamento na saúde em Araguaína TO
PF	PROPN	1	20	2	CGU e PF combatem superfaturamento na saúde em Araguaína TO
combatem	VERB	1	20	3	CGU e PF combatem superfaturamento na saúde em Araguaína TO
superfaturamento	NOUN	1	20	4	CGU e PF combatem superfaturamento na saúde em Araguaína TO
na	ADP	0	20	5	CGU e PF combatem superfaturamento na saúde em Araguaína TO
saúde	NOUN	0	20	6	CGU e PF combatem superfaturamento na saúde em Araguaína TO
em	ADP	0	20	7	CGU e PF combatem superfaturamento na saúde em Araguaína TO
Araguaína	PROPN	1	20	8	CGU e PF combatem superfaturamento na saúde em Araguaína TO
TO	PROPN	1	20	9	CGU e PF combatem superfaturamento na saúde em Araguaína TO
Estudo	NOUN	1	21	0	Estudo comparado de códigos de ética nacionais e internacionais balizam revisão de normas federais
comparado	VERB	0	21	1	Estudo comparado de códigos de ética nacionais e internacionais balizam revisão de normas federais
de	ADP	0	21	2	Estudo comparado de códigos de ética nacionais e internacionais balizam revisão de normas federais
códigos	NOUN	0	21	3	Estudo comparado de códigos de ética nacionais e internacionais balizam revisão de normas federais
de	ADP	0	21	4	Estudo comparado de códigos de ética nacionais e internacionais balizam revisão de normas federais
ética	NOUN	0	21	5	Estudo comparado de códigos de ética nacionais e internacionais balizam revisão de normas federais
nacionais	ADJ	0	21	6	Estudo comparado de códigos de ética nacionais e internacionais balizam revisão de normas federais
e	CCONJ	0	21	7	Estudo comparado de códigos de ética nacionais e internacionais balizam revisão de normas federais
internacionais	ADJ	0	21	8	Estudo comparado de códigos de ética nacionais e internacionais balizam revisão de normas federais
balizam	VERB	1	21	9	Estudo comparado de códigos de ética nacionais e internacionais balizam revisão de normas federais
revisão	NOUN	0	21	10	Estudo comparado de códigos de ética nacionais e internacionais balizam revisão de normas federais
de	ADP	0	21	11	Estudo comparado de códigos de ética nacionais e internacionais balizam revisão de normas federais
normas	NOUN	0	21	12	Estudo comparado de códigos de ética nacionais e internacionais balizam revisão de normas federais
federais	ADJ	0	21	13	Estudo comparado de códigos de ética nacionais e internacionais balizam revisão de normas federais
Combate	NOUN	1	22	0	Combate à corrupção exige especialização e trabalho conjunto , defende ministro da CGU
à	ADP	0	22	1	Combate à corrupção exige especialização e trabalho conjunto , defende ministro da CGU
corrupção	NOUN	0	22	2	Combate à corrupção exige especialização e trabalho conjunto , defende ministro da CGU
exige	VERB	0	22	3	Combate à corrupção exige especialização e trabalho conjunto , defende ministro da CGU
especialização	NOUN	0	22	4	Combate à corrupção exige especialização e trabalho conjunto , defende ministro da CGU
e	CCONJ	0	22	5	Combate à corrupção exige especialização e trabalho conjunto , defende ministro da CGU
trabalho	NOUN	0	22	6	Combate à corrupção exige especialização e trabalho conjunto , defende ministro da CGU
conjunto	ADJ	0	22	7	Combate à corrupção exige especialização e trabalho conjunto , defende ministro da CGU
,	PUNCT	0	22	8	Combate à corrupção exige especialização e trabalho conjunto , defende ministro da CGU
defende	VERB	0	22	9	Combate à corrupção exige especialização e trabalho conjunto , defende ministro da CGU
ministro	NOUN	0	22	10	Combate à corrupção exige especialização e trabalho conjunto , defende ministro da CGU
da	ADP	0	22	11	Combate à corrupção exige especialização e trabalho conjunto , defende ministro da CGU
CGU	PROPN	1	22	12	Combate à corrupção exige especialização e trabalho conjunto , defende ministro da CGU
LAI	PROPN	1	23	0	LAI Tratamento de dados pessoais é tema de nova capacitação da CGU
Tratamento	NOUN	1	23	1	LAI Tratamento de dados pessoais é tema de nova capacitação da CGU
de	ADP	0	23	2	LAI Tratamento de dados pessoais é tema de nova capacitação da CGU
dados	NOUN	0	23	3	LAI Tratamento de dados pessoais é tema de nova capacitação da CGU
pessoais	ADJ	0	23	4	LAI Tratamento de dados pessoais é tema de nova capacitação da CGU
é	AUX	0	23	5	LAI Tratamento de dados pessoais é tema de nova capacitação da CGU
tema	NOUN	0	23	6	LAI Tratamento de dados pessoais é tema de nova capacitação da CGU
de	ADP	0	23	7	LAI Tratamento de dados pessoais é tema de nova capacitação da CGU
nova	ADJ	0	23	8	LAI Tratamento de dados pessoais é tema de nova capacitação da CGU
capacitação	NOUN	1	23	9	LAI Tratamento de dados pessoais é tema de nova capacitação da CGU
da	ADP	0	23	10	LAI Tratamento de dados pessoais é tema de nova capacitação da CGU
CGU	PROPN	1	23	11	LAI Tratamento de dados pessoais é tema de nova capacitação da CGU
Covid	PROPN	1	24	0	Covid - 19 CGU e PF combatem desvios da saúde em Pinheiro MA
-	PUNCT	0	24	1	Covid - 19 CGU e PF combatem desvios da saúde em Pinheiro MA
19	NUM	0	24	2	Covid - 19 CGU e PF combatem desvios da saúde em Pinheiro MA
CGU	PROPN	1	24	3	Covid - 19 CGU e PF combatem desvios da saúde em Pinheiro MA
e	CCONJ	0	24	4	Covid - 19 CGU e PF combatem desvios da saúde em Pinheiro MA
PF	PROPN	1	24	5	Covid - 19 CGU e PF combatem desvios da saúde em Pinheiro MA
combatem	VERB	1	24	6	Covid - 19 CGU e PF combatem desvios da saúde em Pinheiro MA
desvios	NOUN	1	24	7	Covid - 19 CGU e PF combatem desvios da saúde em Pinheiro MA
da	ADP	0	24	8	Covid - 19 CGU e PF combatem desvios da saúde em Pinheiro MA
saúde	NOUN	0	24	9	Covid - 19 CGU e PF combatem desvios da saúde em Pinheiro MA
em	ADP	0	24	10	Covid - 19 CGU e PF combatem desvios da saúde em Pinheiro MA
Pinheiro	PROPN	0	24	11	Covid - 19 CGU e PF combatem desvios da saúde em Pinheiro MA
MA	PROPN	0	24	12	Covid - 19 CGU e PF combatem desvios da saúde em Pinheiro MA
