id;ner_documento
71;[[0, [['PF', 'ORG', 0, 2]]]]
72;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Macapá', 'LOC', 54, 60]]]]
73;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Receita Federal', 'LOC', 18, 33]]]]
74;[[0, [['PF', 'ORG', 0, 2]]]]
75;[[0, [['PF', 'ORG', 0, 2], ['BPFRON', 'MISC', 5, 11]]]]
76;[[0, [['PF', 'ORG', 0, 2], ['Porto', 'LOC', 43, 48], ['PA', 'LOC', 58, 60]]]]
77;[[0, [['PF', 'ORG', 0, 2]]]]
78;[[0, [['PF', 'ORG', 0, 2]]]]
79;[[0, [['PF', 'ORG', 0, 2], ['Correios', 'MISC', 88, 96]]]]
80;[[0, [['PF', 'ORG', 0, 2], ['Jales', 'LOC', 54, 59]]]]
81;[[0, [['PF', 'ORG', 0, 2], ['BPFRON', 'MISC', 5, 11]]]]
82;[[0, [['PF', 'ORG', 0, 2], ['Guarulhos', 'LOC', 53, 62]]]]
83;[[0, [['PF', 'ORG', 0, 2], ['BPFRON', 'MISC', 5, 11]]]]
84;[[0, [['PF', 'ORG', 0, 2], ['Guaíra', 'LOC', 67, 73]]]]
85;[[0, [['Paraguai', 'LOC', 42, 50], ['PF', 'ORG', 66, 68]]]]
86;[[0, [['Papiloscopista', 'LOC', 7, 21]]]]
87;[[0, [['PF', 'ORG', 0, 2], ['BR277', 'MISC', 68, 73], ['Operação Hórus', 'ORG', 87, 101], ['Programa', 'ORG', 104, 112]]], [1, [['VIGIA', 'LOC', 0, 5]]]]
88;[[0, [['Operação Resgate', 'ORG', 0, 16]]]]
89;[[0, [['PF', 'ORG', 0, 2], ['PM', 'ORG', 5, 7]]]]
90;[[0, [['PF', 'ORG', 0, 2], ['Minas Gerais', 'LOC', 56, 68]]]]
91;[[0, [['PF', 'ORG', 0, 2], ['BPFRON', 'MISC', 5, 11]]]]
92;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Pernambuco', 'LOC', 61, 71]]]]
93;[[0, [['PF', 'ORG', 0, 2], ['Operação Voto Livre', 'MISC', 30, 49]]]]
94;[[0, [['PF', 'ORG', 0, 2], ['Espírito Santo', 'LOC', 37, 51]]]]
95;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Acre', 'LOC', 47, 51]]]]
96;[[0, [['PF', 'ORG', 0, 2], ['Operação Overweight', 'ORG', 14, 33], ['São Paulo', 'LOC', 85, 94]]]]
97;[[0, [['PF', 'ORG', 0, 2], ['Bolívia', 'LOC', 84, 91]]]]
98;[[0, [['PF', 'ORG', 0, 2]]]]
99;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Museu Oscar Niemeyer', 'LOC', 27, 47]]], [1, [['Operação Vernissage', 'MISC', 21, 40]]]]
100;[[0, [['PF', 'ORG', 0, 2], ['Interpol', 'ORG', 35, 43], ['Rio de Janeiro', 'LOC', 47, 61]]]]
101;[[0, [['PF', 'ORG', 0, 2], ['BPFRON', 'MISC', 5, 11], ['Terra Roxa', 'LOC', 53, 63]]]]
102;[[0, [['PF', 'ORG', 0, 2], ['Enem', 'MISC', 69, 73]]]]
103;[[0, [['PF', 'ORG', 0, 2], ['Covid', 'LOC', 67, 72], ['Piauí', 'LOC', 81, 86]]]]
104;[[0, [['Polícia Federal', 'LOC', 0, 15]]], [1, [['Lava Jato', 'PER', 0, 9]]], [2, [['Operação Vernissage', 'MISC', 0, 19]]]]
105;[[0, [['PF', 'ORG', 0, 2], ['Distrito Federal', 'LOC', 34, 50], ['Goiás', 'LOC', 56, 61]]]]
106;[[0, [['PF', 'ORG', 0, 2], ['Rússia', 'LOC', 99, 105]]]]
107;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Aeroporto de Guarulhos', 'LOC', 49, 71]]]]
108;[[0, [['PF', 'ORG', 0, 2], ['Porto de Santos', 'LOC', 52, 67]]]]
109;[[0, [['PF', 'ORG', 0, 2], ['Roraima', 'LOC', 63, 70]]]]
110;[[0, [['PF', 'ORG', 0, 2], ['Correios no Espírito Santo', 'LOC', 46, 72]]]]
111;[[0, [['PF', 'ORG', 0, 2], ['Operação Cai', 'MISC', 46, 58]]], [1, []]]
112;[[0, [['PF', 'ORG', 0, 2], ['Angra RJ', 'LOC', 47, 55]]]]
113;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Operação Hórus', 'MISC', 85, 99], ['Cascavel', 'LOC', 103, 111], ['PR', 'LOC', 114, 116]]]]
114;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Rio Grande do Sul', 'LOC', 48, 65]]]]
115;[[0, [['PF', 'ORG', 0, 2], ['NBOH', 'MISC', 50, 54], ['Varginha', 'LOC', 58, 66]]]]
116;[[0, [['Operação felos investiga fraudes', 'MISC', 0, 32], ['Auxílio Emergencial', 'MISC', 52, 71], ['Acre', 'LOC', 75, 79]]]]
117;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Operação', 'MISC', 25, 33]]], [1, [['Despudor', 'LOC', 0, 8], ['Acre', 'LOC', 12, 16]]]]
118;[[0, [['PF', 'ORG', 0, 2], ['Mato Grosso', 'LOC', 49, 60]]]]
119;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Amazônia', 'LOC', 40, 48]]]]
120;[[0, [['PF', 'ORG', 0, 2], ['Rio de Janeiro', 'LOC', 33, 47]]]]
121;[[0, [['PF', 'ORG', 0, 2]]]]
122;[[0, [['PF', 'LOC', 0, 2], ['Rio Grande do Norte', 'LOC', 51, 70]]]]
123;[[0, [['PF', 'ORG', 0, 2], ['Correios no Espírito Santo', 'LOC', 65, 91]]]]
124;[[0, [['PF', 'ORG', 0, 2], ['Operação Help X', 'MISC', 95, 110], ['Operação Infância', 'MISC', 113, 130]]], [1, []]]
125;[[0, [['PF', 'LOC', 0, 2], ['Minas Gerais', 'LOC', 53, 65]]]]
126;[[0, [['PF', 'ORG', 0, 2]]], [1, []]]
127;[[0, [['PF', 'ORG', 0, 2], ['Pernambuco', 'LOC', 48, 58]]]]
128;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Foz do Iguaçu', 'LOC', 61, 74]]]]
129;[[0, [['PF', 'ORG', 0, 2], ['Operação Bad Trip', 'MISC', 14, 31]]]]
130;[[0, [['PF', 'ORG', 0, 2], ['Acre', 'LOC', 30, 34]]]]
131;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Operação Raposo', 'LOC', 25, 40], ['rgão público paranaense', 'LOC', 95, 118]]]]
132;[[0, [['PF', 'ORG', 0, 2], ['Covid', 'LOC', 64, 69], ['Piauí', 'LOC', 78, 83]]]]
133;[[0, [['PF', 'ORG', 0, 2]]]]
134;[[0, [['Polícia Federal', 'LOC', 0, 15]]], [1, []]]
135;[[0, [['PF', 'ORG', 0, 2]]]]
136;[[0, [['PF', 'ORG', 0, 2], ['Rio Grande do Norte', 'LOC', 14, 33], ['Justiça de Goiás', 'ORG', 50, 66]]]]
137;[[0, [['PF', 'ORG', 0, 2], ['Mato Grosso', 'LOC', 33, 44]]]]
138;[[0, [['PF', 'ORG', 0, 2], ['Rio Juruá', 'LOC', 42, 51]]]]
139;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Benefícios Previdenciários', 'PER', 84, 110]]]]
140;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Terra Indígena Yanomami', 'LOC', 35, 58]]]]
141;[[0, [['PF', 'ORG', 0, 2], ['Rio de Janeiro', 'LOC', 14, 28]]]]
142;[[0, [['Vila Portes', 'LOC', 78, 89], ['Foz do Iguaçu', 'LOC', 94, 107]]]]
143;[[0, [['Operação Resgate', 'ORG', 56, 72]]]]
144;[[0, [['Ponte da Amizade', 'LOC', 39, 55]]]]
145;[[0, [['PF', 'ORG', 0, 2], ['Rio Grande do Norte', 'LOC', 35, 54]]]]
146;[[0, [['PF', 'ORG', 0, 2], ['Operação Alcatraz', 'MISC', 30, 47]]], [1, []]]
147;[[0, [['PF', 'ORG', 0, 2]]]]
148;[[0, [['PF', 'ORG', 0, 2], ['PM', 'LOC', 5, 7], ['Guaíra', 'LOC', 43, 49]]]]
149;[[0, [['PF', 'ORG', 0, 2], ['São Paulo', 'LOC', 37, 46]]]]
150;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Receita Federal', 'LOC', 18, 33], ['Uruguai', 'LOC', 77, 84]]]]
151;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Correios', 'LOC', 63, 71]]]]
152;[[0, [['PF', 'ORG', 0, 2], ['Pará', 'LOC', 49, 53]]]]
153;[[0, [['PF', 'ORG', 0, 2]]], [1, [['Operação Hórus', 'ORG', 13, 27]]]]
154;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Operação Cash Delivery', 'MISC', 25, 47], ['Caixa Econômica Federal de Jaguarão RS', 'ORG', 100, 138]]]]
155;[[0, [['PF', 'ORG', 0, 2], ['Interpol', 'ORG', 45, 53], ['Rio de Janeiro', 'LOC', 57, 71]]]]
156;[[0, [['PF', 'ORG', 0, 2], ['internet', 'MISC', 57, 65]]]]
157;[[0, [['PF', 'ORG', 0, 2], ['Espanha', 'LOC', 16, 23], ['Interpol', 'ORG', 39, 47]]]]
158;[[0, [['PF', 'ORG', 0, 2]]]]
159;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Justiça de Santa Catarina', 'LOC', 35, 60]]]]
160;[[0, [['PF', 'ORG', 0, 2]]]]
161;[[0, [['PF', 'ORG', 0, 2], ['internet', 'MISC', 62, 70]]]]
162;[[0, [['Polícia Federal', 'LOC', 32, 47]]]]
163;[[0, [['PF', 'ORG', 0, 2], ['PRF', 'ORG', 27, 30], ['Litoral Sul', 'LOC', 75, 86]]], [1, [['Potiguar', 'LOC', 0, 8]]]]
164;[[0, [['PF', 'ORG', 0, 2]]]]
165;[[0, [['PF', 'ORG', 0, 2], ['Operação Festa Branca', 'MISC', 34, 55], ['Rondônia', 'LOC', 59, 67]]]]
166;[[0, [['PF', 'ORG', 0, 2], ['Pernambuco', 'LOC', 69, 79]]]]
167;[[0, [['PF', 'ORG', 0, 2], ['INSS', 'ORG', 51, 55]]]]
168;[[0, [['PF', 'ORG', 0, 2], ['Operação Pesadelo no Espirito Santo', 'MISC', 29, 64]]]]
169;[[0, [['PF', 'ORG', 0, 2], ['Roraima', 'LOC', 50, 57]]]]
170;[[0, [['PF', 'ORG', 0, 2]]]]
171;[[0, [['PF', 'ORG', 0, 2]]]]
172;[[0, [['OPERA', 'MISC', 0, 5]]], [1, [['H RUS PF', 'ORG', 2, 10], ['Paraná', 'LOC', 81, 87]]]]
173;[[0, [['PF', 'ORG', 0, 2]]], [1, [['Ceará', 'LOC', 49, 54]]]]
174;[[0, [['PF', 'ORG', 0, 2], ['Paraná', 'LOC', 39, 45]]]]
175;[[0, [['PF', 'ORG', 0, 2]]]]
176;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Buenos Aires Argentina', 'LOC', 81, 103]]]]
177;[[0, [['Polícia Federal', 'LOC', 0, 15], ['aeroporto internacional dos Guararapes', 'LOC', 72, 110]]]]
178;[[0, [['PF', 'ORG', 0, 2], ['Operação Concórdia', 'MISC', 16, 34], ['Rio Grande do Norte', 'LOC', 78, 97]]]]
179;[[0, [['PF', 'ORG', 0, 2]]]]
180;[[0, [['PF', 'ORG', 0, 2], ['BPFRON', 'MISC', 5, 11]]]]
181;[[0, [['PF', 'ORG', 0, 2], ['BPFRON', 'MISC', 5, 11]]]]
182;[[0, [['PF', 'ORG', 0, 2], ['BPFRON', 'MISC', 5, 11]]]]
183;[[0, [['PF', 'ORG', 0, 2], ['Correios', 'LOC', 35, 43]]]]
184;[[0, [['PF', 'ORG', 0, 2], ['Justiça', 'LOC', 22, 29], ['Redenção PA', 'MISC', 33, 44]]]]
185;[[0, [['PF', 'ORG', 0, 2]]]]
186;[[0, [['PF', 'ORG', 0, 2], ['BPFRON', 'MISC', 5, 11], ['Terra Roxa', 'LOC', 66, 76]]]]
187;[[0, [['PF', 'ORG', 0, 2]]]]
188;[[0, [['PF', 'ORG', 0, 2], ['Operação Hermano', 'ORG', 14, 30], ['Iracema', 'MISC', 67, 74]]]]
189;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Alagoas', 'LOC', 61, 68]]]]
190;[[0, [['Foz do Iguaçu', 'LOC', 57, 70]]]]
191;[[0, [['Polícia Federal', 'LOC', 0, 15]]]]
192;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Marinha do Brasil', 'ORG', 18, 35]]]]
193;[[0, [['PF', 'ORG', 0, 2]]]]
194;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Rio Grande do Sul', 'LOC', 49, 66]]]]
195;[[0, [['Polícia Federal', 'LOC', 0, 15], ['BPFRON', 'MISC', 18, 24]]]]
196;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Marinha do Brasil', 'ORG', 18, 35], ['Pernambuco', 'LOC', 58, 68]]]]
197;[[0, [['Operação Kambaí', 'ORG', 0, 15]]]]
198;[[0, [['Polícia Federal', 'LOC', 0, 15], ['aeroporto de', 'LOC', 71, 83]]]]
199;[[0, [['PF', 'LOC', 0, 2], ['Cruzeiro do Sul', 'LOC', 31, 46]]]]
200;[[0, [['PF', 'ORG', 0, 2], ['Operação Creeper', 'MISC', 12, 28], ['Espírito Santo', 'LOC', 64, 78]]]]
201;[[0, [['PF', 'ORG', 0, 2], ['R', 'MISC', 29, 30], ['Correios', 'MISC', 61, 69]]]]
202;[[0, [['Polícia Federal', 'LOC', 0, 15], ['SENAD', 'ORG', 18, 23], ['Operação Nova Aliança', 'ORG', 36, 57], ['Cannabis', 'PER', 85, 93]]]]
203;[[0, [['PF', 'ORG', 0, 2], ['Operação', 'MISC', 12, 20]]], [1, [['COVID', 'ORG', 83, 88], ['Arraial PI', 'LOC', 97, 107], ['Isaías Coelho', 'PER', 110, 123]]]]
204;[[0, [['PF', 'ORG', 0, 2], ['Rondônia', 'LOC', 61, 69]]]]
205;[[0, [['Polícia Federal', 'LOC', 0, 15]]]]
206;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Campo Grande', 'LOC', 56, 68]]]]
207;[[0, [['PF', 'ORG', 0, 2]]]]
208;[[0, [['PF', 'ORG', 0, 2], ['Pará', 'LOC', 46, 50]]]]
209;[[0, [['Lago Itaipu', 'LOC', 68, 79], ['Entre Rios do Oeste', 'LOC', 83, 102]]]]
210;[[0, [['PF', 'ORG', 0, 2], ['Guiana Francesa', 'LOC', 47, 62]]]]
211;[[0, [['PF', 'ORG', 0, 2], ['BPFRON', 'MISC', 5, 11], ['Guaíra', 'LOC', 83, 89]]]]
212;[[0, [['PF', 'ORG', 0, 2]]]]
213;[[0, [['PF', 'ORG', 0, 2]]]]
214;[[0, [['PF', 'ORG', 0, 2], ['Acre', 'LOC', 34, 38]]]]
215;[[0, [['PF', 'ORG', 0, 2]]]]
216;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Alagoas', 'LOC', 29, 36], ['Operação Inocência', 'MISC', 55, 73]]], [1, []], [2, []]]
217;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Operação UFR GIO', 'MISC', 25, 41], ['Rio de Janeiro', 'LOC', 90, 104]]]]
218;[[0, [['PF', 'ORG', 0, 2]]]]
219;[[0, [['Operação Quinta Coluna', 'ORG', 0, 22], ['FAB', 'ORG', 96, 99]]]]
220;[[0, [['PF', 'ORG', 0, 2], ['Receita', 'ORG', 26, 33]]]]
221;[[0, [['PF', 'ORG', 0, 2], ['Bolívia', 'LOC', 52, 59]]]]
222;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Tabatinga', 'LOC', 60, 69]]]]
223;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Operação', 'MISC', 25, 33]]], [1, [['Ponto', 'LOC', 0, 5]]], [2, []], [3, []]]
224;[[0, [['Polícia Federal', 'LOC', 0, 15]]]]
225;[[0, [['PF', 'ORG', 0, 2]]]]
226;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Acre', 'LOC', 68, 72]]]]
227;[[0, [['Polícia Federal', 'LOC', 0, 15]]]]
228;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Operação Fiscela', 'MISC', 25, 41], ['Previdência Social', 'ORG', 72, 90]]]]
229;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Foz do Iguaçu', 'LOC', 69, 82]]]]
230;[[0, [['PF', 'ORG', 0, 2], ['BPFRON', 'MISC', 5, 11]]]]
231;[[0, [['Polícia Federal', 'LOC', 0, 15], ['GEFRON AC', 'ORG', 18, 27], ['R', 'MISC', 60, 61]]]]
232;[[0, [['PF', 'ORG', 0, 2], ['BPFRON', 'MISC', 5, 11]]]]
233;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Guiana', 'LOC', 89, 95]]]]
234;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Amapá', 'LOC', 45, 50]]]]
235;[[0, []]]
236;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Bagé RS', 'LOC', 48, 55]]]]
237;[[0, [['PF', 'ORG', 0, 2], ['Operação Hydra', 'MISC', 12, 26]]]]
238;[[0, [['Céu Azul', 'LOC', 62, 70]]]]
239;[[0, [['Polícia Federal', 'LOC', 2, 17], ['Recursos do Fundo Municipal de Saúde', 'LOC', 52, 88], ['Araguaína', 'LOC', 92, 101]]]]
240;[[0, [['PF', 'ORG', 0, 2], ['Santa Casa de Montes Claros', 'LOC', 37, 64]]]]
241;[[0, [['Polícia Federal', 'LOC', 0, 15]]]]
242;[[0, [['PF', 'ORG', 0, 2], ['Operação Papel Branco', 'MISC', 14, 35], ['Minas Gerais', 'LOC', 95, 107]]]]
243;[[0, [['PF', 'ORG', 0, 2], ['Justiça', 'LOC', 22, 29], ['Minas Gerais', 'LOC', 33, 45]]]]
244;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Polícia Militar de São Paulo', 'LOC', 18, 46]]]]
245;[[0, [['PF', 'ORG', 0, 2]]]]
246;[[0, [['PF', 'ORG', 0, 2], ['Acre', 'LOC', 100, 104], ['Mato Grosso do Sul', 'LOC', 107, 125]]]]
247;[[0, [['PF', 'ORG', 0, 2]]], [1, [['RJ', 'MISC', 60, 62]]]]
248;[[0, [['PF', 'ORG', 0, 2]]]]
249;[[0, [['PF', 'ORG', 0, 2], ['Amapá', 'LOC', 31, 36]]]]
250;[[0, [['PF', 'ORG', 0, 2], ['TIGRE PCPR', 'ORG', 5, 15], ['Rio Paraná', 'LOC', 46, 56]]]]
251;[[0, [['PF', 'ORG', 0, 2], ['Correios', 'LOC', 43, 51], ['Natal RN', 'LOC', 55, 63]]]]
252;[[0, [['PF', 'ORG', 0, 2], ['Operação Bad Trip', 'MISC', 31, 48]]]]
253;[[0, [['PF', 'ORG', 0, 2], ['RN', 'LOC', 92, 94]]]]
254;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Interpol', 'ORG', 18, 26], ['Operação Enterprise', 'MISC', 48, 67]]]]
255;[[0, [['PF', 'ORG', 0, 2]]]]
256;[[0, [['PF', 'ORG', 0, 2], ['BPFRON', 'MISC', 5, 11], ['Santa Terezinha de Itaipu', 'LOC', 54, 79], ['Operação Hórus', 'ORG', 97, 111], ['Programa', 'ORG', 114, 122]]], [1, [['VIGIA', 'LOC', 0, 5]]]]
257;[[0, [['PF', 'ORG', 0, 2], ['Roraima', 'LOC', 54, 61]]]]
258;[[0, [['PF', 'ORG', 0, 2]]]]
259;[[0, [['PF', 'ORG', 0, 2]]]]
260;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Polícia Militar', 'LOC', 40, 55]]]]
261;[[0, [['PF', 'ORG', 0, 2]]], [1, [['Polícia Militar BEPI', 'LOC', 27, 47]]], [2, [['Orocó', 'LOC', 49, 54]]]]
262;[[0, [['PF', 'ORG', 0, 2]]]]
263;[[0, [['PF', 'ORG', 0, 2], ['Operação', 'MISC', 12, 20]]], [1, []]]
264;[[0, [['PF', 'ORG', 0, 2], ['Operação Faraó', 'MISC', 12, 26], ['Espírito Santo', 'LOC', 73, 87]]]]
265;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Operação Lavaggio', 'LOC', 25, 42]]]]
266;[[0, [['PF', 'ORG', 0, 2]]]]
267;[[0, [['Polícia Federal', 'LOC', 0, 15], ['Pernambuco', 'LOC', 44, 54]]]]
268;[[0, [['PF', 'ORG', 0, 2], ['Timbaúba', 'LOC', 65, 73]]]]
269;[[0, [['PF', 'ORG', 0, 2], ['Porto de Paranaguá', 'LOC', 39, 57]]]]
270;[[0, [['PF', 'ORG', 0, 2], ['BPFRON', 'MISC', 5, 11]]]]
271;[[0, [['PF', 'ORG', 0, 2], ['FICCO Uberaba', 'LOC', 22, 35], ['PMRE Iturama', 'LOC', 38, 50], ['MG', 'LOC', 53, 55]]]]
