id;pos_documento
25;[[['CGU', 'realiza', '16', 'Reunião', 'da', 'Comissão', 'de', 'Coordenação', 'de', 'Controle', 'Interno'], ['PROPN', 'VERB', 'NUM', 'NOUN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'PROPN'], ['realiza'], ['CGU', 'realizar', '16', 'reunião', 'de o', 'Comissão', 'de', 'Coordenação', 'de', 'Controle', 'Interno']]]
26;[[['Ministro', 'da', 'CGU', 'participa', 'de', 'lançamento', 'do', 'Plano', 'de', 'Integridade', 'da', 'Dataprev'], ['NOUN', 'ADP', 'PROPN', 'VERB', 'ADP', 'NOUN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'ADP', 'PROPN'], ['participa'], ['ministro', 'de o', 'CGU', 'participar', 'de', 'lançamento', 'de o', 'Plano', 'de', 'Integridade', 'de o', 'Dataprev']]]
27;[[['Chamada', 'pública', 'seleciona', 'pesquisadores', 'para', 'projeto', 'realizado', 'pela', 'CGU', 'e', 'Ipea'], ['NOUN', 'ADJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADP', 'PROPN', 'CCONJ', 'PROPN'], ['seleciona', 'realizado'], ['chamada', 'pública', 'selecionar', 'pesquisador', 'para', 'projeto', 'realizar', 'por o', 'CGU', 'e', 'Ipea']]]
28;[[['Atualização', 'das', 'Despesas', 'Públicas', 'no', 'Portal', 'da', 'Transparência'], ['NOUN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'ADP', 'PROPN'], [], ['atualização', 'de o', 'Despesas', 'Públicas', 'em o', 'Portal', 'de o', 'Transparência']]]
29;[[['SFC', 'lança', 'o', 'infográfico', 'Jornada', 'do', 'Auditor', 'Interno', 'Governamental'], ['PROPN', 'VERB', 'DET', 'NOUN', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'PROPN'], ['lança'], ['SFC', 'lançar', 'o', 'infográfico', 'Jornada', 'de o', 'Auditor', 'Interno', 'Governamental']]]
30;[[['CGU', 'divulga', 'resultado', 'de', 'seleção', 'para', 'Diretoria', 'de', 'Tecnologia', 'da', 'Informação'], ['PROPN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'ADP', 'PROPN'], ['divulga'], ['CGU', 'divulgar', 'resultado', 'de', 'seleção', 'para', 'Diretoria', 'de', 'Tecnologia', 'de o', 'Informação']]]
31;[[['OGU', 'promove', 'debates', 'em', 'alusão', 'ao', 'Dia', 'do', 'Ouvidor'], ['PROPN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN'], ['promove'], ['OGU', 'promover', 'debate', 'em', 'alusão', 'a o', 'Dia', 'de o', 'Ouvidor']]]
32;[[['CGU', 'publica', 'norma', 'operacional', 'do', 'Sistema', 'de', 'Ouvidorias', 'do', 'Executivo', 'Federal'], ['PROPN', 'VERB', 'NOUN', 'ADJ', 'ADP', 'PROPN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'PROPN'], ['publica'], ['CGU', 'publicar', 'norma', 'operacional', 'de o', 'Sistema', 'de', 'Ouvidorias', 'de o', 'Executivo', 'Federal']]]
33;[[['Governo', 'Federal', 'atinge', 'a', 'marca', 'de', '1', 'milhão', 'de', 'pedidos', 'de', 'acesso', 'à', 'informação'], ['PROPN', 'PROPN', 'VERB', 'DET', 'NOUN', 'ADP', 'NUM', 'NUM', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN'], ['atinge'], ['Governo', 'Federal', 'atingir', 'o', 'marca', 'de', '1', 'milhão', 'de', 'pedido', 'de', 'acesso', 'a o', 'informação']]]
34;[[['Revista', 'da', 'CGU', 'abre', 'chamada', 'para', 'dossiê', 'especial', 'sobre', 'regulação', 'na', 'melhoria', 'do', 'Estado'], ['NOUN', 'ADP', 'PROPN', 'VERB', 'VERB', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN'], ['abre chamada'], ['revista', 'de o', 'CGU', 'abrir', 'chamar', 'para', 'dossiê', 'especial', 'sobre', 'regulação', 'em o', 'melhoria', 'de o', 'estado']]]
35;[[['CGU', 'divulga', 'resultado', 'da', '2', 'edição', 'da', 'Escala', 'Brasil', 'Transparente', '-', 'Avaliação', '360'], ['PROPN', 'VERB', 'NOUN', 'ADP', 'NUM', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'NOUN', 'NUM'], ['divulga'], ['CGU', 'divulgar', 'resultado', 'de o', '2', 'edição', 'de o', 'Escala', 'Brasil', 'Transparente', '-', 'avaliação', '360']]]
36;[[['STPC', 'realiza', 'primeiro', 'encontro', 'virtual', 'de', '2021', 'do', 'Diálogos', 'em', 'Controle', 'Social'], ['PROPN', 'VERB', 'ADJ', 'NOUN', 'ADJ', 'ADP', 'NUM', 'ADP', 'PROPN', 'ADP', 'PROPN', 'PROPN'], ['realiza'], ['STPC', 'realizar', 'primeiro', 'encontro', 'virtual', 'de', '2021', 'de o', 'Diálogos', 'em', 'Controle', 'Social']]]
37;[[['CGU', 'conclui', 'três', 'ações', 'do', 'Plano', 'Anticorrupção', 'do', 'Governo', 'Federal'], ['PROPN', 'VERB', 'NUM', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'PROPN'], ['conclui'], ['CGU', 'concluir', 'três', 'ação', 'de o', 'Plano', 'Anticorrupção', 'de o', 'Governo', 'Federal']]]
38;[[['CGU', 'abre', 'consulta', 'pública', 'sobre', 'normativo', 'de', 'Tomadas', 'de', 'Contas', 'Especiais'], ['PROPN', 'VERB', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'PROPN'], ['abre'], ['CGU', 'abrir', 'consulta', 'público', 'sobre', 'normativo', 'de', 'Tomadas', 'de', 'Contas', 'Especiais']]]
39;[[['Prosa', 'de', 'Ouvidoria', 'Lei', 'Geral', 'de', 'Proteção', 'de', 'Dados', 'Pessoais', 'foi', 'tema', 'do', '1', 'dia'], ['NOUN', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'AUX', 'NOUN', 'ADP', 'NUM', 'NOUN'], [], ['prosa', 'de', 'Ouvidoria', 'Lei', 'Geral', 'de', 'Proteção', 'de', 'Dados', 'Pessoais', 'ser', 'tema', 'de o', '1', 'dia']]]
40;[[['Rede', 'Nacional', 'de', 'Ouvidorias', 'promove', 'live', 'sobre', 'LGPD'], ['PROPN', 'PROPN', 'ADP', 'PROPN', 'VERB', 'NOUN', 'ADP', 'PROPN'], ['promove'], ['Rede', 'Nacional', 'de', 'Ouvidorias', 'promover', 'live', 'sobre', 'LGPD']]]
41;[[['Ações', 'de', 'auditoria', 'da', 'CGU', 'somaram', 'R', '17', ',', '9', 'bilhões', 'em', 'benefícios', 'financeiros', 'em', '2020'], ['NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'VERB', 'PROPN', 'NUM', 'PUNCT', 'NUM', 'NUM', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NUM'], ['somaram'], ['ação', 'de', 'auditoria', 'de o', 'CGU', 'somar', 'R', '17', ',', '9', 'bilhão', 'em', 'benefício', 'financeiro', 'em', '2020']]]
42;[[['Tratamento', 'da', 'informação', 'pessoal', 'em', 'face', 'da', 'LAI', 'e', 'da', 'LGPD', 'é', 'tema', 'de', 'live', 'na', 'CGU'], ['NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'PROPN', 'CCONJ', 'ADP', 'PROPN', 'AUX', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN'], [], ['tratamento', 'de o', 'informação', 'pessoal', 'em', 'face', 'de o', 'LAI', 'e', 'de o', 'LGPD', 'ser', 'tema', 'de', 'live', 'em o', 'CGU']]]
43;[[['Prosa', 'de', 'Ouvidoria'], ['PROPN', 'ADP', 'PROPN'], [], ['prosa', 'de', 'Ouvidoria']], [['Modelos', 'para', 'medir', 'maturidade', 'de', 'gestão', 'foi', 'tema', 'do', '2', 'dia'], ['NOUN', 'SCONJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'AUX', 'NOUN', 'ADP', 'NUM', 'NOUN'], ['medir'], ['modelo', 'para', 'medir', 'maturidade', 'de', 'gestão', 'ser', 'tema', 'de o', '2', 'dia']]]
44;[[['Prosa', 'de', 'Ouvidoria', 'Proteção', 'ao', 'denunciante', 'no', 'Brasil', 'foi', 'tema', 'do', '3', 'dia'], ['PROPN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'AUX', 'NOUN', 'ADP', 'NUM', 'NOUN'], [], ['prosa', 'de', 'Ouvidoria', 'Proteção', 'a o', 'denunciante', 'em o', 'Brasil', 'ser', 'tema', 'de o', '3', 'dia']]]
45;[[['GT', '-', 'tica', 'se', 'reúne', 'para', 'tratar', 'de', 'precedentes', 'da', 'Comissão', 'de', 'tica', 'Pública'], ['PROPN', 'PUNCT', 'NOUN', 'PRON', 'VERB', 'SCONJ', 'VERB', 'ADP', 'NOUN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'PROPN'], ['reúne', 'tratar'], ['GT', '-', 'tica', 'se', 'reunir', 'para', 'tratar', 'de', 'precedente', 'de o', 'Comissão', 'de', 'tica', 'Pública']]]
46;[[['Governo', 'Federal', 'celebra', 'o', 'Dia', 'Mundial', 'da', 'gua', 'e', 'promove', 'o', 'Seminário', 'das', 'guas'], ['PROPN', 'PROPN', 'VERB', 'DET', 'PROPN', 'PROPN', 'ADP', 'NOUN', 'CCONJ', 'VERB', 'DET', 'PROPN', 'ADP', 'NOUN'], ['celebra', 'promove'], ['Governo', 'Federal', 'celebrar', 'o', 'Dia', 'Mundial', 'de o', 'gua', 'e', 'promover', 'o', 'Seminário', 'de o', 'gua']], [['Brasileiras'], ['PROPN'], [], ['Brasileiras']]]
47;[[['Prosa', 'de', 'Ouvidoria'], ['PROPN', 'ADP', 'PROPN'], [], ['prosa', 'de', 'Ouvidoria']], [['Conselho', 'de', 'Usuários', 'de', 'Serviços', 'Públicos', 'foi', 'tema', 'do', '4', 'dia'], ['PROPN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'AUX', 'NOUN', 'ADP', 'NUM', 'NOUN'], [], ['conselho', 'de', 'Usuários', 'de', 'Serviços', 'Públicos', 'ser', 'tema', 'de o', '4', 'dia']]]
48;[[['Ministro', 'da', 'CGU', 'apresenta', 'a', 'importância', 'da', 'ética', 'e', 'do', 'controle', 'interno', 'para', 'a', 'boa', 'gestão', 'pública'], ['NOUN', 'ADP', 'PROPN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'ADJ', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADJ'], ['apresenta'], ['ministro', 'de o', 'CGU', 'apresentar', 'o', 'importância', 'de o', 'ética', 'e', 'de o', 'controle', 'interno', 'para', 'o', 'bom', 'gestão', 'público']]]
49;[[['Governo', 'Federal', 'analisa', 'se', 'vacinas', 'estão', 'sendo', 'aplicadas', 'nas', 'pessoas'], ['PROPN', 'PROPN', 'VERB', 'SCONJ', 'NOUN', 'AUX', 'AUX', 'VERB', 'ADP', 'NOUN'], ['analisa', 'estão sendo aplicadas'], ['Governo', 'Federal', 'analisar', 'se', 'vacina', 'estar', 'ser', 'aplicar', 'em o', 'pessoa']], [['certas'], ['DET'], [], ['certo']]]
50;[[['CGU', 'realiza', 'evento', 'sobre', 'combate', 'ao', 'assédio', 'sexual', 'no', 'ambiente', 'de', 'trabalho'], ['PROPN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN'], ['realiza'], ['CGU', 'realizar', 'evento', 'sobre', 'combate', 'a o', 'assédio', 'sexual', 'em o', 'ambiente', 'de', 'trabalho']]]
51;[[['Prosa', 'de', 'Ouvidoria', 'Soluções', 'para', 'inteligência', 'artificial', 'foi', 'tema', 'do', 'último', 'dia'], ['PROPN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'NOUN', 'ADJ', 'AUX', 'NOUN', 'ADP', 'ADJ', 'NOUN'], [], ['prosa', 'de', 'Ouvidoria', 'Soluções', 'para', 'inteligência', 'artificial', 'ser', 'tema', 'de o', 'último', 'dia']]]
52;[[['CGU', 'participa', 'de', 'live', 'sobre', 'o', 'enfrentamento', 'da', 'corrupção', 'no', 'Brasil'], ['PROPN', 'VERB', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN'], ['participa'], ['CGU', 'participar', 'de', 'live', 'sobre', 'o', 'enfrentamento', 'de o', 'corrupção', 'em o', 'Brasil']]]
53;[[['Revista', 'da', 'CGU', 'seleciona', 'pesquisadores', 'para', 'compor', 'cadastro', 'de', 'revisores'], ['NOUN', 'ADP', 'PROPN', 'VERB', 'NOUN', 'SCONJ', 'VERB', 'NOUN', 'ADP', 'NOUN'], ['seleciona', 'compor'], ['revista', 'de o', 'CGU', 'selecionar', 'pesquisador', 'para', 'compor', 'cadastro', 'de', 'revisor']]]
54;[[['Wagner', 'Rosário', 'fala', 'sobre', 'os', 'desafios', 'do', 'gestor', 'público', 'no', 'combate', 'à', 'corrupção'], ['PROPN', 'PROPN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN'], ['fala'], ['Wagner', 'Rosário', 'falar', 'sobre', 'o', 'desafio', 'de o', 'gestor', 'público', 'em o', 'combate', 'a o', 'corrupção']]]
55;[[['Ouvidoria', '-', 'Geral', 'da', 'União', 'divulga', 'Relatório', 'de', 'Gestão', '2020'], ['PROPN', 'PUNCT', 'PROPN', 'ADP', 'PROPN', 'VERB', 'NOUN', 'ADP', 'PROPN', 'NUM'], ['divulga'], ['Ouvidoria', '-', 'Geral', 'de o', 'União', 'divulgar', 'Relatório', 'de', 'Gestão', '2020']]]
56;[[['Controladoria', '-', 'Geral', 'da', 'União', 'publica', 'Relatório', 'de', 'Gestão', 'de', '2020'], ['PROPN', 'PUNCT', 'PROPN', 'ADP', 'PROPN', 'VERB', 'NOUN', 'ADP', 'PROPN', 'ADP', 'NUM'], ['publica'], ['Controladoria', '-', 'Geral', 'de o', 'União', 'publicar', 'Relatório', 'de', 'Gestão', 'de', '2020']]]
57;[[['CGU', 'publica', 'novo', 'plano', 'de', 'ação', 'da', 'Infraestrutura', 'Nacional', 'de', 'Dados', 'Abertos'], ['PROPN', 'VERB', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'PROPN'], ['publica'], ['CGU', 'publicar', 'novo', 'plano', 'de', 'ação', 'de o', 'Infraestrutura', 'Nacional', 'de', 'Dados', 'Abertos']]]
58;[[['Revista', 'da', 'CGU', 'lança', 'plano', 'editorial', 'para', 'biênio', '2021', '-', '2022'], ['NOUN', 'ADP', 'PROPN', 'VERB', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'NUM', 'PUNCT', 'NUM'], ['lança'], ['revista', 'de o', 'CGU', 'lançar', 'plano', 'editorial', 'para', 'biênio', '2021', '-', '2022']]]
59;[[['CGU', 'realiza', 'segundo', 'encontro', 'virtual', 'do', 'Diálogos', 'em', 'Controle', 'Social'], ['PROPN', 'VERB', 'ADP', 'NOUN', 'ADJ', 'ADP', 'PROPN', 'ADP', 'PROPN', 'PROPN'], ['realiza'], ['CGU', 'realizar', 'segundo', 'encontro', 'virtual', 'de o', 'Diálogos', 'em', 'Controle', 'Social']]]
60;[[['CGU', ',', 'PF', 'e', 'MPF', 'combatem', 'desvios', 'de', 'recursos', 'no', 'Incra', 'do', 'Amazonas'], ['PROPN', 'PUNCT', 'PROPN', 'CCONJ', 'PROPN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'ADP', 'PROPN'], ['combatem'], ['CGU', ',', 'PF', 'e', 'MPF', 'combater', 'desvio', 'de', 'recurso', 'em o', 'Incra', 'de o', 'Amazonas']]]
